Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 07:50:22,-0.00482104,43.20728,9.04757,,,350000,4850220.451273541,772327.92374765,4583938.626501837,2616.353530366574
2023-02-01 07:50:27,-0.011660723,43.20924,9.04757,,,350000,4850065.128000447,772303.1907479392,4584106.064453683,2616.3736954380565
2023-02-01 07:50:32,-0.003334387,43.21121,9.04757,,,350000,4849909.006510849,772278.3306437182,4584274.351314138,2616.393980997596
2023-02-01 07:50:37,-0.007009416,43.21317,9.04757,,,350000,4849753.671794669,772253.5958218605,4584441.778586955,2616.4141811000113
2023-02-01 07:50:42,0.003239316,43.21513,9.04758,,,350000,4849598.196592337,772229.7065058612,4584609.200533549,2616.433591493143
2023-02-01 07:50:47,0.016855439,43.21709,9.04758,,,350000,4849442.850467219,772204.9698394933,4584776.617153716,2616.453826567812
2023-02-01 07:50:52,0.002324386,43.21905,9.04758,,,350000,4849287.498635738,772180.2322644683,4584944.02844726,2616.4740791119475
2023-02-01 07:50:57,0.009323495,43.22101,9.04759,,,350000,4849132.006331444,772156.3401140202,4585111.434413981,2616.4935420418888
2023-02-01 07:51:02,0.00525191,43.22297,9.0476,,,350000,4848976.508329632,772132.4470007159,4585278.835053677,2616.5130225047105
2023-02-01 07:51:07,0.013395676,43.22493,9.0476,,,350000,4848821.139388772,772107.7066456558,4585446.230366153,2616.533327519021
2023-02-01 07:51:12,0.008294942,43.22689,9.04761,,,350000,4848665.6299882885,772083.8116338572,4585613.6203512065,2616.552843014288
2023-02-01 07:51:17,0.010752061,43.23152,9.03728,,,350000,4848437.6859682705,771151.2385678444,4586009.015331847,2617.434461068982
2023-02-01 07:51:22,0.028218288,43.23348,9.03728,,,350000,4848282.287684899,771126.5222393164,4586176.387403346,2617.4548091092915
2023-02-01 07:51:27,0.022970082,43.23542,9.03729,,,350000,4848128.334897512,771102.9033827009,4586342.046349554,2617.4741598575642
2023-02-01 07:51:32,0.023105803,43.23738,9.0373,,,350000,4847972.790688165,771079.031352431,4586509.407818651,2617.493735850974
2023-02-01 07:51:37,0.019931814,43.23932,9.03731,,,350000,4847818.826682106,771055.410601076,4586675.056270251,2617.5131211130097
2023-02-01 07:51:42,0.01018788,43.24128,9.03732,,,350000,4847663.271138698,771031.5366571402,4586842.407136155,2617.5327319745516
2023-02-01 07:51:47,0.022127966,43.24322,9.03734,,,350000,4847509.161348324,771008.7600611108,4587008.045092369,2617.551345024146
