Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 12:00:52,0.079144515,30.40818,32.23306,,,350000,4912351.061878016,3097432.4996066107,3386634.6482577687,1011.2394697060749
2023-02-01 12:00:57,-0.02108872,30.42502,32.23656,,,350000,4911318.315359565,3097200.6236254615,3388333.2901497763,1009.5697330783457
2023-02-01 12:01:02,0.048832912,30.42759,32.23673,,,350000,4911180.355795417,3097133.9896811056,3388592.4992739465,1009.3337495524676
2023-02-01 12:01:07,0.046829908,30.43015,32.2369,,,350000,4911042.8878945215,3097067.664727987,3388850.693109505,1009.0986794372257
2023-02-01 12:01:12,0.027722773,30.43272,32.23706,,,350000,4910905.450009056,3097000.15964751,3389109.8887952673,1008.8632697898685
2023-02-01 12:01:17,-0.02299598,30.43529,32.23723,,,350000,4910767.462140147,3096933.5046822643,3389369.077747947,1008.6273745787583
2023-02-01 12:01:22,0.060309171,30.45209,32.24073,,,350000,4909736.107446341,3096702.3047881774,3391063.2209526626,1006.9628667985935
2023-02-01 12:01:27,0.038555751,30.45465,32.24089,,,350000,4909599.093111608,3096635.0505280066,3391321.3508348023,1006.7285710699587
2023-02-01 12:01:32,-0.035606713,30.45722,32.24106,,,350000,4909461.027446014,3096568.3298999984,3391580.482312366,1006.4929062705096
2023-02-01 12:01:37,0.021380309,30.45978,32.24122,,,350000,4909323.9943083385,3096501.0617424687,3391838.598797463,1006.2586697644501
2023-02-01 12:01:42,0.071791345,30.47655,32.24472,,,350000,4908293.592924335,3096270.276396195,3393529.298042365,1004.5983382122348
2023-02-01 12:01:47,-0.120576078,30.47911,32.24488,,,350000,4908156.491786977,3096202.950093098,3393787.3640283984,1004.364303256908
2023-02-01 12:01:52,0.008585562,30.48168,32.24505,,,350000,4908018.339053598,3096136.156905005,3394046.431355309,1004.1288997632494
2023-02-01 12:01:57,0.000263779,30.48424,32.24521,,,350000,4907881.219119676,3096068.8167051687,3394304.483934433,1003.8949244248709
2023-02-01 12:02:02,0.089960083,30.50098,32.2487,,,350000,4906852.314379556,3095837.591620749,3395991.740922351,1002.2392890832012
2023-02-01 12:02:07,0.068264971,30.50353,32.24886,,,350000,4906715.628711945,3095770.5101864464,3396248.7352359197,1002.0063972393888
2023-02-01 12:02:12,-0.058474069,30.50609,32.24903,,,350000,4906577.891258584,3095703.9614019473,3396506.7306883554,1001.7721371498534
2023-02-01 12:02:17,0.054579435,30.50865,32.24919,,,350000,4906440.68473705,3095636.54931079,3396764.719445231,1001.5384242842639
2023-02-01 12:02:22,0.095167944,30.52536,32.25268,,,350000,4905412.739663027,3095405.7438215935,3398448.536220647,999.8869706498562
2023-02-01 12:02:27,0.099860897,30.52791,32.25284,,,350000,4905275.967889318,3095338.590836141,3398705.467002591,999.6543412689462
2023-02-01 12:02:32,0.084596721,30.53046,32.253,,,350000,4905139.186810942,3095271.430978654,3398962.3911368246,999.4217418214722
2023-02-01 12:02:37,0.122235816,30.53302,32.25316,,,350000,4905001.893872854,3095203.9471216444,3399220.3161293026,999.1882928613607
2023-02-01 12:02:42,-0.050218434,30.53558,32.25332,,,350000,4904864.591556104,3095136.456341755,3399478.2344208006,998.9548741249871
2023-02-01 12:02:47,0.072782328,30.55224,32.25681,,,350000,4903838.556762416,3094906.656638903,3401156.554563439,997.3095366674446
2023-02-01 12:02:52,-0.152269565,30.55479,32.25697,,,350000,4903701.689788593,3094839.4253810365,3401413.4152450846,997.0772011894929
2023-02-01 12:02:57,0.069026194,30.55735,32.25712,,,350000,4903564.850756152,3094771.0140262353,3401671.276531257,996.8445363526715
2023-02-01 12:03:02,0.033934883,30.5599,32.25728,,,350000,4903427.965131233,3094703.7690235963,3401928.123880146,996.6122614214954
2023-02-01 12:03:07,0.111446749,30.57654,32.26077,,,350000,4902402.394249051,3094474.077061486,3403604.015331101,994.9702312743802
2023-02-01 12:03:12,-0.034755991,30.57908,32.26093,,,350000,4902265.944713279,3094407.0921329893,3403859.805557066,994.7390387502934
2023-02-01 12:03:17,0.022842848,30.58163,32.26108,,,350000,4902129.522780126,3094338.927145496,3404116.596186295,994.5075186398448
2023-02-01 12:03:22,0.093401415,30.58418,32.26124,,,350000,4901992.551473338,3094271.6108936123,3404373.3801570865,994.2755093924142
2023-02-01 12:03:27,0.131088823,30.60079,32.26472,,,350000,4900968.49054565,3094041.4909272417,3406045.837478064,992.6381874472411
2023-02-01 12:03:32,-0.02156185,30.60333,32.26488,,,350000,4900831.955794732,3093974.4351117993,3406301.5646162373,992.4072606814232
2023-02-01 12:03:37,0.101748434,30.60588,32.26503,,,350000,4900695.448233786,3093906.1992246527,3406558.2919044644,992.1760083586205
2023-02-01 12:03:42,0.093713674,30.60842,32.26519,,,350000,4900558.894992982,3093839.129767336,3406814.0057948823,991.9451424427949
2023-02-01 12:03:47,0.000165827,30.61097,32.26534,,,350000,4900422.368844843,3093770.880235421,3407070.719782186,991.713951452458
2023-02-01 12:03:52,-0.119196191,30.62754,32.26882,,,350000,4899399.727232857,3093541.458188692,3408738.694965587,990.0818731553788
2023-02-01 12:03:57,-0.002548509,30.63008,32.26898,,,350000,4899263.0982183,3093474.3247910426,3408994.3524589012,989.8512440977785
2023-02-01 12:04:02,0.114138701,30.63262,32.26913,,,350000,4899126.999887761,3093406.329514647,3409250.0033363113,989.621166739994
2023-02-01 12:04:07,0.007825221,30.63517,32.26928,,,350000,4898990.388325,3093338.00923392,3409506.6540577034,989.390245268398
