Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 02:08:57,0.038882084,33.94534,27.74885,350000,4944474.6474460615,2601287.2446803916,3736859.112722552,1082.4945842079503
2023-02-01 02:09:02,0.030864906,33.94858,27.7501,350000,4944230.505882353,2601296.5251702867,3737173.6612341045,1082.2499741565102
2023-02-01 02:09:07,0.001548019,33.95182,27.75135,350000,4943986.350432503,2601305.787914156,3737488.197928581,1082.0054531800943
2023-02-01 02:09:12,-0.016899158,33.95505,27.75261,350000,4943742.305552934,2601316.2001386425,3737801.752067366,1081.760642790041
2023-02-01 02:09:17,0.033581194,33.95829,27.75386,350000,4943498.122375674,2601325.4273842485,3738116.265161143,1081.5162997937773
2023-02-01 02:09:22,0.009651895,33.96526,27.77097,350000,4942317.882629434,2602589.247310198,3738792.816534717,1079.8120403006083
2023-02-01 02:09:27,0.012580963,33.96849,27.77223,350000,4942073.777740708,2602599.524395993,3739106.321790891,1079.567519773873
2023-02-01 02:09:32,0.047127016,33.97172,27.77349,350000,4941829.659059861,2602609.7837198027,3739419.815296651,1079.3230880470337
2023-02-01 02:09:37,0.007452473,33.97494,27.77476,350000,4941585.650997743,2602621.192513425,3739732.3265373856,1079.078365054632
2023-02-01 02:09:42,-0.021735146,33.97817,27.77602,350000,4941341.504777128,2602631.416307095,3740045.796575706,1078.8341107579445
2023-02-01 02:09:47,-0.05071542,33.9814,27.77729,350000,4941096.89052192,2602642.4847209794,3740359.254860613,1078.589127785218
2023-02-01 02:09:52,-0.000111127,33.98829,27.79439,350000,4939921.1860922575,2603906.873033504,3741027.861890408,1076.8901685722324
2023-02-01 02:09:57,0.024050059,33.99151,27.79566,350000,4939677.104668188,2603918.1291743508,3741340.3130169897,1076.6458223353134
2023-02-01 02:10:02,0.021577564,33.99473,27.79694,350000,4939432.555075125,2603930.2296303697,3741652.752458716,1076.400747045483
2023-02-01 02:10:07,0.003321019,33.99794,27.79821,350000,4939189.025129742,2603941.7553536557,3741964.2099601515,1076.1570136307835
2023-02-01 02:10:12,-0.020250243,34.00116,27.79949,350000,4938944.448181604,2603953.820161384,3742276.626065487,1075.9121152335
2023-02-01 02:10:17,-0.086636486,34.008,27.81659,350000,4937771.123448462,2605218.830553117,3742940.2289455864,1074.2162018801769
2023-02-01 02:10:22,-0.046410069,34.0112,27.81786,350000,4937528.113342371,2605230.5273555103,3743250.668322451,1073.97319034649
2023-02-01 02:10:27,0.009629752,34.01441,27.81914,350000,4937284.056006963,2605242.762719236,3743562.066222047,1073.72901444891
2023-02-01 02:10:32,0.007434827,34.01761,27.82043,350000,4937040.109417142,2605256.147527567,3743872.4824695718,1073.4845433128867
2023-02-01 02:10:37,-0.010926891,34.02082,27.82171,350000,4936796.024915091,2605268.347296741,3744183.8571655937,1073.2405438646363
2023-02-01 02:10:42,-0.034605542,34.02402,27.823,350000,4936552.051239844,2605281.696500959,3744494.250279877,1072.996248599227
2023-02-01 02:10:47,-0.020962164,34.03079,27.8401,350000,4935382.2345972285,2606547.847070242,3745150.8876450914,1071.3043478652417
2023-02-01 02:10:52,0.019152815,34.03398,27.84139,350000,4935138.794660234,2606561.3854997135,3745460.2749225628,1071.0606832032727
2023-02-01 02:10:57,-0.057407431,34.03717,27.84268,350000,4934895.341293477,2606574.9061955647,3745769.6507190643,1070.817106042549
2023-02-01 02:11:02,-0.033068221,34.04037,27.84397,350000,4934651.29522924,2606588.1031748313,3746079.9848096655,1070.573184044002
2023-02-01 02:11:07,-0.125785567,34.04356,27.84527,350000,4934407.360028186,2606602.4495796715,3746389.337605338,1070.3289643987937
2023-02-01 02:11:12,-0.080104377,34.04675,27.84657,350000,4934163.411396753,2606616.7781638647,3746698.6789171454,1070.084832329416
2023-02-01 02:11:17,-0.007953149,34.05345,27.86366,350000,4932997.560663432,2607883.2150914785,3747348.3552505146,1068.3977441190311
2023-02-01 02:11:22,0.016239222,34.05663,27.86496,350000,4932754.146234987,2607897.733596066,3747656.691360219,1068.1542397605447
2023-02-01 02:11:27,-0.065585551,34.05981,27.86626,350000,4932510.718468426,2607912.234350928,3747965.0160540226,1067.9108226868593
2023-02-01 02:11:32,-0.025383448,34.063,27.86756,350000,4932266.69788146,2607926.410954536,3748274.2988515715,1067.667062326016
2023-02-01 02:11:37,-0.000971044,34.06618,27.86887,350000,4932022.788230367,2607941.73696994,3748582.6006748057,1067.423002207202
2023-02-01 02:11:42,-0.013858805,34.07282,27.88596,350000,4930859.90360501,2609209.1206320995,3749226.3135785195,1065.7393530932302
2023-02-01 02:11:47,0.026561707,34.07599,27.88726,350000,4930616.9839178715,2609223.7765943855,3749533.610763164,1065.496736097565
2023-02-01 02:11:52,0.024542139,34.07916,27.88858,350000,4930373.140190946,2609240.1359015293,3749840.896597821,1065.2525700974036
2023-02-01 02:11:57,0.001020944,34.08233,27.88989,350000,4930129.738612247,2609255.6168879787,3750148.1710815458,1065.009309171773
2023-02-01 02:12:02,-0.000580421,34.0855,27.8912,350000,4929886.323787652,2609271.0801080433,3750455.4342133924,1064.7661353740277
2023-02-01 02:12:07,-0.019346889,34.08866,27.89252,350000,4929643.020048397,2609287.6928037032,3750761.7167617534,1064.522659122932
2023-02-01 02:12:12,-0.053313189,34.09523,27.9096,350000,4928484.107481613,2610555.378258069,3751398.4769581696,1062.8437893559674
2023-02-01 02:12:17,-0.039492844,34.09839,27.91092,350000,4928240.759067279,2610571.8753324253,3751704.7247642176,1062.6005064598303
2023-02-01 02:12:22,-0.025855471,34.10155,27.91224,350000,4927997.397494202,2610588.354625817,3752010.9612851404,1062.3573103547867
2023-02-01 02:12:27,0.014819321,34.10471,27.91356,350000,4927754.022763786,2610604.8161375844,3752317.1865199963,1062.1142011005293
2023-02-01 02:12:32,-0.019308075,34.10787,27.91489,350000,4927510.179238007,2610622.119879876,3752623.4004678554,1061.870360477494
2023-02-01 02:12:37,-0.03210886,34.11102,27.91622,350000,4927266.902497358,2610639.713029769,3752928.634149828,1061.6270335347053
