Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 08:26:22,-0.031646555,31.30067,36.88797,,,350000,4601955.220201411,3453735.01175075,3476257.9656751384,765.4320678383721
2023-02-01 08:26:27,-0.030621063,31.30389,36.88852,,,350000,4601765.537850495,3453661.711181542,3476579.82083254,765.1029166504834
2023-02-01 08:26:32,-0.06724834,31.30712,36.88906,,,350000,4601575.959376406,3453587.228361182,3476902.664643412,764.7729353994852
2023-02-01 08:26:37,-0.018564975,31.31034,36.88961,,,350000,4601386.251552353,3453513.8993128757,3477224.498073844,764.4438585536662
2023-02-01 08:26:42,-0.145742353,31.32454,36.88067,,,350000,4601234.401147504,3452277.6979218065,3478643.63409353,763.1441072841558
2023-02-01 08:26:47,-0.039143653,31.32776,36.88121,,,350000,4601045.21254927,3452203.5264651217,3478965.4088238887,762.8153526933563
2023-02-01 08:26:52,-0.033606852,31.33097,36.88176,,,350000,4600855.895267916,3452130.508917777,3479286.1734506763,762.4875004421414
2023-02-01 08:26:57,-0.065558915,31.33419,36.88229,,,350000,4600667.283758309,3452055.5061618797,3479607.926506374,762.1589541342306
2023-02-01 08:27:02,-0.039446899,31.33741,36.88283,,,350000,4600478.057007856,3451981.2922384427,3479929.668706364,761.8303118500734
2023-02-01 08:27:07,-0.050452746,31.35156,36.87387,,,350000,4600329.006143043,3450745.13027569,3481343.4071330777,760.5385279268394
2023-02-01 08:27:12,-0.082781789,31.35477,36.87441,,,350000,4600140.182982555,3450671.242629973,3481664.0917547215,760.211075053767
2023-02-01 08:27:17,-0.030601741,31.35799,36.87494,,,350000,4599951.462438644,3450596.1727488795,3481985.764548532,759.882797230928
2023-02-01 08:27:22,-0.0155535,31.3612,36.87547,,,350000,4599763.216164758,3450521.454109115,3482306.427545833,759.5555544158608
2023-02-01 08:27:27,-0.032692046,31.37531,36.86649,,,350000,4599616.5518023,3449284.994577193,3483715.8181540435,758.2706048528994
2023-02-01 08:27:32,-0.060702038,31.37852,36.86702,,,350000,4599428.222420586,3449210.2374445326,3484036.422883385,757.9435563232249
2023-02-01 08:27:37,-0.014499515,31.38173,36.86754,,,350000,4599240.482359124,3449134.663571915,3484357.016810418,757.6166816849259
2023-02-01 08:27:42,-0.090914293,31.38494,36.86806,,,350000,4599052.729604853,3449059.075743804,3484677.5999341337,757.2898450168992
2023-02-01 08:27:47,-0.087604167,31.39901,36.85907,,,350000,4598907.852181693,3447823.124168746,3486082.6452116626,756.0116129945235
2023-02-01 08:27:52,-0.100511205,31.40221,36.85959,,,350000,4598720.503934903,3447747.8637961536,3486402.1716585886,755.685969109454
2023-02-01 08:27:57,-0.097659652,31.40541,36.8601,,,350000,4598533.744813243,3447671.7869512,3486721.6873630164,755.3605004745743
2023-02-01 08:28:02,-0.095233027,31.40861,36.86062,,,350000,4598346.371339749,3447596.498857558,3487041.192323947,755.0349327239201
2023-02-01 08:28:07,-0.034415322,31.41182,36.86113,,,350000,4598159.099142454,3447520.028605376,3487361.6849429673,754.7085453850934
2023-02-01 08:28:12,-0.032277704,31.42584,36.85212,,,350000,4598017.03130451,3446284.127013213,3488761.3421472004,753.438340006664
2023-02-01 08:28:17,-0.01991501,31.42904,36.85263,,,350000,4597830.163980753,3446207.9848224814,3489080.778494088,753.1131476556695
2023-02-01 08:28:22,-0.044918751,31.43223,36.85314,,,350000,4597643.772188642,3446132.194720515,3489399.2059018677,752.788987731145
2023-02-01 08:28:27,-0.00126461,31.43543,36.85365,,,350000,4597456.879647999,3446056.0249494193,3489718.6207796233,752.4638722057624
2023-02-01 08:28:32,-0.042571243,31.44941,36.84461,,,350000,4597317.808293731,3444819.0323945573,3491113.938410984,751.2006957582627
2023-02-01 08:28:37,-0.015225275,31.4526,36.84512,,,350000,4597131.321472678,3444743.1912988615,3491432.297573325,750.8767751930458
