Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 13:55:47,0.023831929,30.37686,32.42882,350000,4903303.930319782,3115192.0962339533,3383474.648283822,1004.0886063315788
2023-02-01 13:55:52,0.04179212,30.37922,32.42866,350000,4903194.802225774,3115103.5454134443,3383712.7929049484,1003.8856018097597
2023-02-01 13:55:57,0.029284333,30.38159,32.4285,350000,4903085.166033471,3115014.6727130036,3383951.94090884,1003.6817332452906
2023-02-01 13:56:02,0.021085247,30.39933,32.43131,350000,4902046.382994143,3114692.1793034147,3385741.8376312233,1001.9556575984218
2023-02-01 13:56:07,0.043121474,30.40169,32.43115,350000,4901937.177553456,3114603.576549277,3385979.9282648135,1001.7528970635449
2023-02-01 13:56:12,0.034850556,30.40405,32.43099,350000,4901827.963338432,3114514.9691444514,3386218.0132260257,1001.550166615113
2023-02-01 13:56:17,0.018007967,30.40642,32.43083,350000,4901718.240669082,3114426.0396051896,3386457.101312928,1001.3465734154342
2023-02-01 13:56:22,0.009671109,30.40878,32.43067,350000,4901609.008869708,3114337.4228785764,3386695.17490413,1001.1439033164875
2023-02-01 13:56:27,0.018535311,30.42648,32.43348,350000,4900571.559918111,3114015.6365935407,3388480.5459644725,999.423313483162
2023-02-01 13:56:32,0.005790831,30.42884,32.43332,350000,4900462.259750653,3113926.9726973316,3388718.5713172574,999.2208584733539
2023-02-01 13:56:37,-0.002635148,30.4312,32.43316,350000,4900352.950810919,3113838.3041520515,3388956.590993017,999.0184337550619
2023-02-01 13:56:42,0.023530483,30.43356,32.43299,350000,4900244.17655082,3113748.7757039927,3389194.6049913447,998.8165420896701
2023-02-01 13:56:47,0.015206759,30.43592,32.43283,350000,4900134.850051511,3113660.0978802354,3389432.6133118384,998.6141781149036
2023-02-01 13:56:52,0.032626639,30.45359,32.43564,350000,4899098.239430228,3113338.704117956,3391214.469741413,996.8981858295631
2023-02-01 13:56:57,0.036982003,30.45594,32.43548,350000,4898989.345086784,3113250.2971890904,3391451.421562638,996.6969288392559
2023-02-01 13:57:02,0.058856659,30.4583,32.43532,350000,4898879.941615432,3113161.5676393574,3391689.3760198583,996.4948115975561
2023-02-01 13:57:07,0.045933333,30.46066,32.43515,350000,4898771.072707647,3113071.9784455667,3391927.3247950086,996.2932285550637
2023-02-01 13:57:12,0.050374676,30.46302,32.43499,350000,4898661.651680831,3112983.2396206036,3392165.267887686,996.091172470335
2023-02-01 13:57:17,0.072026261,30.48064,32.4378,350000,4897626.884502772,3112662.8773203227,3393941.595583864,994.3815619198532
2023-02-01 13:57:22,0.067731583,30.483,32.43764,350000,4897517.395440286,3112574.0915078674,3394179.4905519662,994.1797232210682
2023-02-01 13:57:27,0.050376056,30.48535,32.43747,350000,4897408.9416623805,3112484.764581301,3394416.3718403378,993.9793090050081
2023-02-01 13:57:32,0.05473302,30.48771,32.43731,350000,4897299.435084337,3112395.96951745,3394654.2554595415,993.7775317180103
2023-02-01 13:57:37,0.046029732,30.49006,32.43714,350000,4897190.963832196,3112306.6334197,3394891.1254463024,993.5771789151994
2023-02-01 13:57:42,0.058885375,30.50765,32.43996,350000,4896156.50028046,3111987.5241750753,3396663.9433840057,991.871667519464
2023-02-01 13:57:47,0.028408049,30.51,32.43979,350000,4896047.961370164,3111898.1415925366,3396900.7655071453,991.6715330013325
2023-02-01 13:57:52,0.01110678,30.51235,32.43963,350000,4895938.870621592,3111809.6089481874,3397137.5819874955,991.4709238989785
2023-02-01 13:57:57,0.002168514,30.51471,32.43946,350000,4895829.813028372,3111719.8986317287,3397375.400518291,991.2699631678887
2023-02-01 13:58:02,0.01684012,30.51706,32.4393,350000,4895720.704840727,3111631.356781375,3397612.205687852,991.069415685167
2023-02-01 13:58:07,0.010621388,30.53461,32.44212,350000,4894687.593359012,3111312.9668448567,3399380.5083566885,989.3693993759217
2023-02-01 13:58:12,0.014818035,30.53696,32.44195,350000,4894578.960776253,3111223.524116568,3399617.2657198934,989.1695768986751
2023-02-01 13:58:17,0.005952697,30.5393,32.44178,350000,4894470.821072819,3111134.3956654156,3399853.0099935937,988.9706722512067
2023-02-01 13:58:22,0.005758939,30.54166,32.44161,350000,4894361.669441579,3111044.62497191,3400090.763503824,988.7700252214566
2023-02-01 13:58:27,0.027123247,30.54401,32.44144,350000,4894253.010689964,3110955.168555936,3400327.503923753,988.5702960599089
