Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 08:58:57,-2.269561201,46.2082,9.56849,,,350000,4598972.393312679,775256.6236003195,4833943.879686778,2628.2331091086726
2023-02-01 08:59:02,-2.25186175,46.2181,9.58102,,,350000,4597976.3463196885,776122.8602932385,4834747.206702569,2627.5371342721983
2023-02-01 08:59:07,-2.233182465,46.21975,9.58413,,,350000,4597796.466899709,776349.1775460019,4834881.080587946,2627.3445758323905
2023-02-01 08:59:12,-2.223193469,46.2214,9.58725,,,350000,4597616.437080918,776576.2793448778,4835014.950487139,2627.151302822294
2023-02-01 08:59:17,-2.195715325,46.22304,9.59037,,,350000,4597437.227184125,776803.5042521729,4835148.005103475,2626.9578180107505
2023-02-01 08:59:22,-2.174220136,46.22468,9.59349,,,350000,4597258.002381613,777030.7113037843,4835281.055781578,2626.7643687358873
2023-02-01 08:59:27,-2.148104474,46.22632,9.59661,,,350000,4597078.762674935,777257.9004985744,4835414.102521332,2626.5709550046995
2023-02-01 08:59:32,-2.117083857,46.23624,9.60922,,,350000,4596079.33721632,778129.4092395912,4836218.789079621,2625.871399627558
2023-02-01 08:59:37,-2.074642313,46.23788,9.61236,,,350000,4595899.7456178935,778358.0964053045,4836351.808055669,2625.676710182747
2023-02-01 08:59:42,-2.03470773,46.23951,9.6155,,,350000,4595720.973997372,778586.9070485972,4836484.012037114,2625.481807660977
2023-02-01 08:59:47,-1.995630087,46.24115,9.61864,,,350000,4595541.352310583,778815.5582835618,4836617.023158585,2625.2871896100346
2023-02-01 08:59:52,-1.967246144,46.24278,9.62178,,,350000,4595362.550635432,779044.333093142,4836749.219333127,2625.0923582241217
2023-02-01 08:59:57,-1.930768842,46.24441,9.62492,,,350000,4595183.733942929,779273.090008974,4836881.411615988,2624.8975623487804
2023-02-01 09:00:02,-1.888828169,46.24604,9.62807,,,350000,4595004.766185838,779502.631009547,4837013.600007064,2624.7020523353253
2023-02-01 09:00:07,-1.841327034,46.25597,9.64079,,,350000,4594002.314729404,780381.8596272373,4837818.810851088,2623.99662585688
2023-02-01 09:00:12,-1.801017881,46.2576,9.64395,,,350000,4593823.129622212,780612.09523401,4837950.971638377,2623.800591545745
2023-02-01 09:00:17,-1.75261305,46.25922,9.64711,,,350000,4593644.764579894,780842.454788382,4838082.317766368,2623.604342620357
2023-02-01 09:00:22,-1.699126532,46.26084,9.65027,,,350000,4593466.38440403,781072.7964140143,4838213.660049196,2623.408129165648
2023-02-01 09:00:27,-1.64629658,46.26246,9.65344,,,350000,4593287.852733009,781303.9217897296,4838344.998486756,2623.2112019450497
2023-02-01 09:00:32,-1.600638854,46.26408,9.6566,,,350000,4593109.442254583,781534.2275232805,4838476.333078939,2623.0150594955494
2023-02-01 09:00:37,-1.547638197,46.27404,9.66941,,,350000,4592102.622524249,782419.3656550533,4839283.713104208,2622.3055919690655
2023-02-01 09:00:42,-1.503347804,46.27565,9.67259,,,350000,4591924.692727941,782651.3090698808,4839414.209680083,2622.107925715516
2023-02-01 09:00:47,-1.455780266,46.27726,9.67578,,,350000,4591746.611041474,782884.0359327536,4839544.702457049,2621.909546020246
2023-02-01 09:00:52,-1.405213405,46.27888,9.67896,,,350000,4591567.815276029,783115.8009029154,4839676.001913673,2621.712202544276
2023-02-01 09:00:57,-1.351338965,46.28048,9.68215,,,350000,4591390.538398247,783348.6342297938,4839805.676613826,2621.5136419942046
2023-02-01 09:01:02,-1.30144077,46.28209,9.68534,,,350000,4591212.410765087,783581.3070415176,4839936.15799343,2621.31536884763
2023-02-01 09:01:07,-1.244302831,46.29206,9.69824,,,350000,4590202.884191105,784472.6279892798,4840744.085399438,2620.601377265438
2023-02-01 09:01:12,-1.181753065,46.29367,9.70144,,,350000,4590024.537224257,784705.9935262357,4840874.539449831,2620.4025822149174
2023-02-01 09:01:17,-1.129831403,46.29527,9.70465,,,350000,4589846.873456473,784940.2849445195,4841004.179461863,2620.2028213075228
2023-02-01 09:01:22,-1.081989102,46.29687,9.70785,,,350000,4589669.331278711,785173.7572537193,4841133.815720764,2620.003844263842
2023-02-01 09:01:27,-1.028949385,46.29847,9.71106,,,350000,4589491.63665597,785408.0125804724,4841263.448226429,2619.8041543031923
2023-02-01 09:01:32,-0.98285174,46.30006,9.71427,,,350000,4589314.7622259455,785642.3928966593,4841392.2668107115,2619.6042463258173
2023-02-01 09:01:37,-0.942009185,46.31005,9.72727,,,350000,4588301.5471760025,786540.5442992782,4842201.55159485,2618.885252917185
2023-02-01 09:01:42,-0.908432001,46.31165,9.73049,,,350000,4588123.61674469,786775.4733679518,4842331.153179321,2618.6850776686106
2023-02-01 09:01:47,-0.837202393,46.31324,9.73372,,,350000,4587946.36921282,787011.3284191951,4842459.941034825,2618.4839356027833
2023-02-01 09:01:52,-0.786793492,46.31483,9.73694,,,350000,4587769.24351325,787246.3646593158,4842588.725182819,2618.283576910063
2023-02-01 09:01:57,-0.736622517,46.31642,9.74018,,,350000,4587591.827446147,787482.9842374468,4842717.5056232065,2618.0817578559054
2023-02-01 09:02:02,-0.697842968,46.318,9.74341,,,350000,4587415.369032409,787718.9285228797,4842845.472450909,2617.8804672791853
2023-02-01 09:02:07,-0.640716086,46.32801,9.75649,,,350000,4586398.730615378,788622.2973311043,4843656.113917729,2617.157988232141
2023-02-01 09:02:12,-0.585348039,46.32959,9.75974,,,350000,4586221.913309214,788859.7332260229,4843784.053885731,2616.9554296448105
2023-02-01 09:02:17,-0.536265467,46.33117,9.76299,,,350000,4586045.080312357,789097.1509948954,4843911.990191685,2616.752906477758
2023-02-01 09:02:22,-0.487867985,46.33275,9.76624,,,350000,4585868.231626429,789334.5506365238,4844039.922835493,2616.550418738314
2023-02-01 09:02:27,-0.456360897,46.33433,9.76949,,,350000,4585691.367253047,789571.9321497096,4844167.851817057,2616.3479664338065
2023-02-01 09:02:32,-0.40946368,46.3359,9.77274,,,350000,4585515.323189908,789809.4395252696,4844294.967493871,2616.1452932697835
